booking_id,customer_id,room_id,booking_channel_id,check_in_date,check_out_date,stay_length
1,34,28,1,2024-01-23T00:00:00,2024-01-28T00:00:00,5
2,10,30,3,2024-02-09T00:00:00,2024-02-14T00:00:00,5
3,23,6,3,2024-10-25T00:00:00,2024-10-29T00:00:00,4
4,26,18,3,2024-09-26T00:00:00,2024-09-30T00:00:00,4
5,35,18,1,2024-11-27T00:00:00,2024-12-02T00:00:00,5
6,24,8,3,2024-07-19T00:00:00,2024-07-22T00:00:00,3
7,13,7,3,2024-12-01T00:00:00,2024-12-02T00:00:00,1
8,17,27,3,2024-10-04T00:00:00,2024-10-07T00:00:00,3
9,9,21,3,2024-08-08T00:00:00,2024-08-11T00:00:00,3
10,5,17,3,2024-03-19T00:00:00,2024-03-21T00:00:00,2
11,48,8,2,2024-05-15T00:00:00,2024-05-18T00:00:00,3
12,39,3,1,2024-03-23T00:00:00,2024-03-24T00:00:00,1
13,50,1,3,2024-06-17T00:00:00,2024-06-22T00:00:00,5
14,17,16,4,2024-04-05T00:00:00,2024-04-10T00:00:00,5
15,31,29,3,2024-12-16T00:00:00,2024-12-19T00:00:00,3
16,41,30,2,2024-10-16T00:00:00,2024-10-17T00:00:00,1
17,32,9,4,2024-09-22T00:00:00,2024-09-23T00:00:00,1
18,22,8,3,2024-01-25T00:00:00,2024-02-01T00:00:00,7
19,37,17,4,2024-11-03T00:00:00,2024-11-08T00:00:00,5
20,6,8,4,2024-02-28T00:00:00,2024-03-05T00:00:00,6
21,42,20,4,2024-12-07T00:00:00,2024-12-08T00:00:00,1
22,29,13,4,2024-06-21T00:00:00,2024-06-24T00:00:00,3
23,12,15,1,2024-05-07T00:00:00,2024-05-14T00:00:00,7
24,37,29,1,2024-11-16T00:00:00,2024-11-23T00:00:00,7
25,24,21,1,2024-01-13T00:00:00,2024-01-17T00:00:00,4
26,15,19,3,2024-11-13T00:00:00,2024-11-16T00:00:00,3
27,26,10,3,2024-10-23T00:00:00,2024-10-29T00:00:00,6
28,32,3,3,2024-12-29T00:00:00,2025-01-02T00:00:00,4
29,1,18,3,2024-04-07T00:00:00,2024-04-09T00:00:00,2
30,7,9,1,2024-02-17T00:00:00,2024-02-19T00:00:00,2
31,11,28,1,2024-03-16T00:00:00,2024-03-22T00:00:00,6
32,50,5,2,2024-01-14T00:00:00,2024-01-16T00:00:00,2
33,27,1,4,2024-02-01T00:00:00,2024-02-06T00:00:00,5
34,39,14,1,2024-09-02T00:00:00,2024-09-08T00:00:00,6
35,37,15,1,2024-04-25T00:00:00,2024-05-02T00:00:00,7
36,4,11,3,2024-12-27T00:00:00,2024-12-28T00:00:00,1
37,1,3,3,2024-03-08T00:00:00,2024-03-15T00:00:00,7
38,5,30,3,2024-05-10T00:00:00,2024-05-11T00:00:00,1
39,46,19,2,2024-03-16T00:00:00,2024-03-19T00:00:00,3
40,14,19,3,2024-10-11T00:00:00,2024-10-14T00:00:00,3
41,24,12,2,2024-01-06T00:00:00,2024-01-09T00:00:00,3
42,28,29,4,2024-06-21T00:00:00,2024-06-24T00:00:00,3
43,31,19,4,2024-07-31T00:00:00,2024-08-03T00:00:00,3
44,50,9,1,2024-11-24T00:00:00,2024-11-28T00:00:00,4
45,43,14,3,2024-11-07T00:00:00,2024-11-09T00:00:00,2
46,14,20,3,2024-05-28T00:00:00,2024-06-04T00:00:00,7
47,26,22,4,2024-09-06T00:00:00,2024-09-11T00:00:00,5
48,15,10,4,2024-09-24T00:00:00,2024-09-25T00:00:00,1
49,30,16,2,2024-04-13T00:00:00,2024-04-20T00:00:00,7
50,17,15,4,2024-07-06T00:00:00,2024-07-09T00:00:00,3
51,48,30,3,2024-09-22T00:00:00,2024-09-23T00:00:00,1
52,32,29,3,2024-05-15T00:00:00,2024-05-18T00:00:00,3
53,2,16,4,2024-04-20T00:00:00,2024-04-23T00:00:00,3
54,24,19,1,2024-04-22T00:00:00,2024-04-28T00:00:00,6
55,36,8,1,2024-08-16T00:00:00,2024-08-21T00:00:00,5
56,39,12,3,2024-03-21T00:00:00,2024-03-23T00:00:00,2
57,29,25,1,2024-11-24T00:00:00,2024-11-29T00:00:00,5
58,17,7,1,2024-11-04T00:00:00,2024-11-10T00:00:00,6
59,9,24,1,2024-03-03T00:00:00,2024-03-08T00:00:00,5
60,22,3,3,2024-07-12T00:00:00,2024-07-15T00:00:00,3
61,39,29,1,2024-09-29T00:00:00,2024-09-30T00:00:00,1
62,39,28,3,2024-03-12T00:00:00,2024-03-13T00:00:00,1
63,12,25,2,2024-11-08T00:00:00,2024-11-11T00:00:00,3
64,33,28,4,2024-01-04T00:00:00,2024-01-05T00:00:00,1
65,10,18,3,2024-07-22T00:00:00,2024-07-28T00:00:00,6
66,31,19,4,2024-04-19T00:00:00,2024-04-21T00:00:00,2
67,25,3,4,2024-02-27T00:00:00,2024-03-01T00:00:00,3
68,29,8,1,2024-11-22T00:00:00,2024-11-29T00:00:00,7
69,9,2,3,2024-04-14T00:00:00,2024-04-16T00:00:00,2
70,5,29,2,2024-06-26T00:00:00,2024-06-28T00:00:00,2
71,36,5,2,2024-01-03T00:00:00,2024-01-06T00:00:00,3
72,18,10,3,2024-06-20T00:00:00,2024-06-27T00:00:00,7
73,45,20,3,2024-11-25T00:00:00,2024-11-28T00:00:00,3
74,26,3,1,2024-05-05T00:00:00,2024-05-11T00:00:00,6
75,44,29,1,2024-09-16T00:00:00,2024-09-20T00:00:00,4
76,43,26,3,2024-09-20T00:00:00,2024-09-21T00:00:00,1
77,14,16,1,2024-02-29T00:00:00,2024-03-02T00:00:00,2
78,38,15,3,2024-04-21T00:00:00,2024-04-23T00:00:00,2
79,49,18,3,2024-12-26T00:00:00,2025-01-02T00:00:00,7
80,34,26,2,2024-09-24T00:00:00,2024-10-01T00:00:00,7
81,30,28,3,2024-12-09T00:00:00,2024-12-15T00:00:00,6
82,1,20,2,2024-09-17T00:00:00,2024-09-23T00:00:00,6
83,49,1,1,2024-10-28T00:00:00,2024-10-30T00:00:00,2
84,45,8,3,2024-06-11T00:00:00,2024-06-18T00:00:00,7
85,29,17,1,2024-06-24T00:00:00,2024-06-29T00:00:00,5
86,37,7,3,2024-06-02T00:00:00,2024-06-05T00:00:00,3
87,44,8,2,2024-05-02T00:00:00,2024-05-04T00:00:00,2
88,27,7,1,2024-01-08T00:00:00,2024-01-11T00:00:00,3
89,3,9,2,2024-04-16T00:00:00,2024-04-21T00:00:00,5
90,21,4,2,2024-02-11T00:00:00,2024-02-16T00:00:00,5
91,23,22,4,2024-12-25T00:00:00,2024-12-29T00:00:00,4
92,17,7,1,2024-07-08T00:00:00,2024-07-15T00:00:00,7
