payment_id,booking_id,payment_type_id,amount,status
1,1,1,4350.0,Paid
2,2,1,4400.0,Paid
3,3,3,1900.0,Pending
4,4,1,1600.0,Pending
5,5,1,2000.0,Paid
6,6,2,2800.0,Pending
7,7,3,450.0,Pending
8,8,1,1800.0,Paid
9,9,2,3650.0,Pending
10,10,1,2500.0,Pending
11,11,1,2400.0,Paid
12,12,1,1000.0,Paid
13,13,2,1000.0,Paid
14,14,3,4700.0,Pending
15,15,2,3000.0,Pending
16,16,1,900.0,Paid
17,17,3,3300.0,Pending
18,18,1,2500.0,Pending
19,19,1,3500.0,Pending
20,20,2,2600.0,Pending
21,21,2,900.0,Pending
22,22,1,3250.0,Pending
23,23,1,4250.0,Paid
24,24,1,5750.0,Paid
25,25,2,4900.0,Paid
26,26,3,3700.0,Pending
27,27,2,4500.0,Paid
28,28,3,800.0,Paid
29,29,1,800.0,Pending
30,30,1,400.0,Paid
31,31,2,3600.0,Paid
32,32,3,2950.0,Pending
33,33,2,4350.0,Pending
34,34,1,2400.0,Paid
35,35,3,4100.0,Pending
36,36,1,3500.0,Pending
37,37,2,2250.0,Paid
38,38,3,3500.0,Paid
39,39,2,2900.0,Pending
40,40,2,2500.0,Paid
41,41,3,1800.0,Paid
42,42,1,4500.0,Paid
43,43,1,2800.0,Pending
44,44,2,1250.0,Paid
45,45,1,3800.0,Paid
46,46,1,2800.0,Pending
47,47,3,3400.0,Pending
48,48,3,200.0,Paid
49,49,2,2800.0,Paid
50,50,1,1200.0,Pending
51,51,2,600.0,Pending
52,52,2,2550.0,Paid
53,53,2,1200.0,Paid
54,54,2,4350.0,Pending
55,55,1,2150.0,Pending
56,56,2,1950.0,Pending
57,57,1,3300.0,Paid
58,58,1,1650.0,Paid
59,59,1,3000.0,Paid
60,60,2,1250.0,Pending
61,61,2,600.0,Paid
62,62,3,600.0,Pending
63,63,3,2450.0,Paid
64,64,2,600.0,Paid
65,65,3,4200.0,Pending
66,66,2,800.0,Pending
67,67,1,3250.0,Pending
68,68,1,2150.0,Paid
69,69,2,2700.0,Paid
70,70,1,1700.0,Pending
71,71,3,3050.0,Pending
72,72,3,2000.0,Pending
73,73,2,1200.0,Paid
74,74,1,3200.0,Pending
75,75,1,3150.0,Paid
76,76,3,2100.0,Paid
77,77,1,800.0,Pending
78,78,2,2250.0,Paid
79,79,3,3000.0,Pending
80,80,2,4200.0,Pending
81,81,1,4250.0,Paid
82,82,1,3000.0,Paid
83,83,1,2900.0,Paid
84,84,1,1550.0,Paid
85,85,1,2200.0,Pending
86,86,1,600.0,Pending
87,87,1,400.0,Pending
88,88,1,600.0,Paid
89,89,2,2200.0,Pending
90,90,2,1000.0,Pending
91,91,2,2550.0,Pending
92,92,2,4850.0,Pending
