usage_id,booking_id,service_id,quantity,total_cost
1,1,4,5,750.0
2,1,2,3,600.0
3,2,3,1,500.0
4,2,2,2,400.0
5,2,1,5,500.0
6,3,4,4,600.0
7,3,1,5,500.0
8,6,3,3,1500.0
9,6,2,2,400.0
10,6,4,2,300.0
11,7,1,1,100.0
12,7,4,1,150.0
13,9,1,1,100.0
14,9,4,5,750.0
15,9,2,5,1000.0
16,10,3,3,1500.0
17,10,1,2,200.0
18,11,2,3,600.0
19,11,1,2,200.0
20,11,3,2,1000.0
21,12,2,3,600.0
22,12,1,2,200.0
23,14,3,4,2000.0
24,14,1,1,100.0
25,14,4,4,600.0
26,15,2,5,1000.0
27,15,1,2,200.0
28,16,4,2,300.0
29,17,2,3,600.0
30,17,3,5,2500.0
31,18,3,2,1000.0
32,18,1,1,100.0
33,19,4,2,300.0
34,19,1,4,400.0
35,19,2,4,800.0
36,20,4,4,600.0
37,20,2,4,800.0
38,21,3,1,500.0
39,22,4,5,750.0
40,22,2,4,800.0
41,22,3,1,500.0
42,23,3,2,1000.0
43,23,4,3,450.0
44,24,2,5,1000.0
45,24,4,1,150.0
46,24,1,4,400.0
47,25,1,5,500.0
48,25,3,4,2000.0
49,26,3,5,2500.0
50,27,3,5,2500.0
51,27,4,4,600.0
52,27,1,2,200.0
53,32,4,5,750.0
54,32,3,3,1500.0
55,32,1,3,300.0
56,33,4,3,450.0
57,33,3,5,2500.0
58,33,1,4,400.0
59,35,2,1,200.0
60,35,4,4,600.0
61,35,3,1,500.0
62,36,3,5,2500.0
63,36,4,4,600.0
64,37,4,5,750.0
65,37,1,1,100.0
66,38,4,4,600.0
67,38,2,4,800.0
68,38,3,3,1500.0
69,39,2,5,1000.0
70,39,1,2,200.0
71,39,3,1,500.0
72,40,1,5,500.0
73,40,2,4,800.0
74,41,2,3,600.0
75,42,3,4,2000.0
76,42,1,5,500.0
77,42,2,1,200.0
78,43,4,4,600.0
79,43,3,2,1000.0
80,44,4,3,450.0
81,45,2,5,1000.0
82,45,3,4,2000.0
83,47,1,4,400.0
84,52,4,5,750.0
85,54,1,5,500.0
86,54,4,3,450.0
87,54,2,5,1000.0
88,55,1,4,400.0
89,55,4,5,750.0
90,56,2,4,800.0
91,56,1,2,200.0
92,56,4,1,150.0
93,57,4,2,300.0
94,58,4,3,450.0
95,60,2,1,200.0
96,60,4,1,150.0
97,60,1,3,300.0
98,63,1,5,500.0
99,63,4,1,150.0
100,65,3,3,1500.0
101,65,1,1,100.0
102,65,2,1,200.0
103,67,3,4,2000.0
104,67,1,5,500.0
105,67,4,1,150.0
106,68,4,5,750.0
107,69,3,4,2000.0
108,69,4,2,300.0
109,70,3,1,500.0
110,71,3,4,2000.0
111,71,4,3,450.0
112,72,2,3,600.0
113,74,3,4,2000.0
114,75,4,5,750.0
115,76,3,3,1500.0
116,78,3,1,500.0
117,78,2,1,200.0
118,78,4,5,750.0
119,79,2,1,200.0
120,81,4,3,450.0
121,81,2,1,200.0
122,82,4,4,600.0
123,83,3,5,2500.0
124,84,4,1,150.0
125,85,1,2,200.0
126,89,2,1,200.0
127,89,3,2,1000.0
128,91,4,1,150.0
129,92,4,5,750.0
130,92,2,1,200.0
131,92,3,5,2500.0
132,95,2,1,200.0
133,95,4,5,750.0
134,96,3,5,2500.0
135,97,4,5,750.0
136,98,3,1,500.0
137,99,4,2,300.0
138,99,3,5,2500.0
139,99,2,2,400.0
140,100,1,3,300.0
141,100,3,1,500.0
142,100,4,4,600.0
143,101,2,4,800.0
144,101,3,4,2000.0
145,102,1,2,200.0
146,104,1,2,200.0
147,104,4,4,600.0
148,105,1,1,100.0
149,105,4,3,450.0
150,105,3,2,1000.0
151,107,3,2,1000.0
152,108,3,5,2500.0
153,108,2,4,800.0
154,109,1,3,300.0
155,109,4,3,450.0
156,109,3,4,2000.0
157,111,1,4,400.0
158,111,2,1,200.0
159,111,4,4,600.0
160,112,3,3,1500.0
161,112,2,3,600.0
162,116,1,1,100.0
163,116,3,5,2500.0
164,118,3,4,2000.0
165,119,3,4,2000.0
166,119,2,4,800.0
167,120,4,2,300.0
168,122,4,5,750.0
169,122,3,3,1500.0
170,123,3,1,500.0
171,123,2,5,1000.0
172,124,1,3,300.0
173,125,4,3,450.0
174,130,4,5,750.0
175,131,1,1,100.0
176,131,2,3,600.0
177,131,4,4,600.0
178,132,2,3,600.0
179,133,3,5,2500.0
180,134,1,1,100.0
181,134,2,5,1000.0
182,134,4,3,450.0
183,135,4,5,750.0
184,135,2,4,800.0
185,135,1,2,200.0
186,136,4,5,750.0
187,136,1,2,200.0
188,137,2,3,600.0
189,138,1,4,400.0
190,139,1,2,200.0
191,143,4,2,300.0
192,143,3,2,1000.0
193,145,4,2,300.0
194,145,2,1,200.0
195,145,3,3,1500.0
196,146,4,1,150.0
197,149,4,1,150.0
198,149,2,3,600.0
199,149,3,2,1000.0
200,150,2,4,800.0
201,151,1,5,500.0
202,151,4,4,600.0
203,151,2,2,400.0
204,152,3,1,500.0
205,153,1,1,100.0
206,155,4,4,600.0
207,155,1,5,500.0
208,155,2,4,800.0
209,156,4,4,600.0
210,156,1,1,100.0
211,156,2,2,400.0
212,157,4,5,750.0
213,158,4,4,600.0
214,158,3,2,1000.0
215,159,4,3,450.0
216,159,3,5,2500.0
217,160,1,1,100.0
218,162,1,5,500.0
219,163,4,1,150.0
220,163,1,1,100.0
221,163,3,4,2000.0
222,164,3,4,2000.0
223,164,1,4,400.0
224,164,2,1,200.0
225,166,2,2,400.0
226,166,3,3,1500.0
227,169,4,5,750.0
228,170,2,4,800.0
229,171,2,4,800.0
230,171,4,4,600.0
231,172,4,1,150.0
232,174,2,5,1000.0
233,176,3,5,2500.0
234,177,2,1,200.0
235,177,3,1,500.0
236,177,1,1,100.0
237,180,2,4,800.0
238,180,4,4,600.0
239,180,1,5,500.0
240,181,2,3,600.0
241,182,4,2,300.0
242,183,2,1,200.0
243,183,1,3,300.0
244,183,3,3,1500.0
245,185,4,3,450.0
246,185,2,2,400.0
247,185,3,5,2500.0
248,187,1,2,200.0
249,188,1,3,300.0
250,188,4,4,600.0
251,189,4,5,750.0
252,189,2,3,600.0
253,189,3,1,500.0
254,190,4,3,450.0
255,190,1,4,400.0
256,191,3,3,1500.0
257,191,2,4,800.0
258,193,2,1,200.0
259,193,3,3,1500.0
260,194,2,4,800.0
261,194,3,5,2500.0
262,195,3,4,2000.0
263,195,2,3,600.0
264,195,1,5,500.0
265,196,4,1,150.0
266,196,3,5,2500.0
267,197,1,3,300.0
268,197,2,4,800.0
269,198,1,1,100.0
270,199,4,1,150.0
271,199,1,5,500.0
272,199,2,3,600.0
273,200,3,3,1500.0
274,201,4,1,150.0
275,201,1,3,300.0
276,202,3,5,2500.0
277,202,2,5,1000.0
278,203,4,3,450.0
279,203,1,2,200.0
280,204,2,3,600.0
281,204,1,2,200.0
282,204,4,5,750.0
283,205,1,5,500.0
284,205,4,2,300.0
285,206,2,3,600.0
286,206,4,2,300.0
287,207,4,5,750.0
288,207,2,3,600.0
289,207,3,4,2000.0
290,208,2,1,200.0
291,208,1,3,300.0
292,209,2,2,400.0
293,209,4,2,300.0
294,210,1,3,300.0
295,210,2,5,1000.0
296,210,4,5,750.0
297,211,2,1,200.0
298,211,4,4,600.0
299,211,3,1,500.0
300,215,2,2,400.0
301,215,3,4,2000.0
302,216,2,5,1000.0
303,217,3,3,1500.0
304,217,4,2,300.0
305,218,4,5,750.0
306,218,2,5,1000.0
307,218,1,5,500.0
308,221,2,3,600.0
309,221,1,5,500.0
310,221,4,2,300.0
311,222,1,5,500.0
312,222,2,1,200.0
313,223,3,3,1500.0
314,225,1,3,300.0
315,225,4,2,300.0
316,226,1,2,200.0
317,226,2,5,1000.0
318,226,3,4,2000.0
319,227,1,2,200.0
320,227,4,1,150.0
321,227,2,3,600.0
322,229,4,4,600.0
323,229,3,3,1500.0
324,229,1,4,400.0
325,230,2,4,800.0
326,230,4,1,150.0
327,231,2,5,1000.0
328,231,4,1,150.0
329,231,1,4,400.0
330,232,2,1,200.0
331,232,3,1,500.0
332,233,4,2,300.0
333,234,3,3,1500.0
334,238,3,1,500.0
335,238,2,4,800.0
336,238,4,3,450.0
337,240,2,4,800.0
338,241,1,5,500.0
339,242,1,2,200.0
340,243,1,4,400.0
341,243,3,5,2500.0
342,244,2,3,600.0
343,244,1,3,300.0
344,244,4,2,300.0
345,245,1,1,100.0
346,246,4,1,150.0
347,246,2,3,600.0
348,246,3,4,2000.0
349,249,2,3,600.0
350,249,4,4,600.0
351,250,4,4,600.0
352,251,4,1,150.0
353,251,1,4,400.0
354,251,2,4,800.0
355,252,3,1,500.0
356,252,4,1,150.0
357,252,1,5,500.0
358,253,2,5,1000.0
359,253,3,2,1000.0
360,253,1,3,300.0
361,254,1,1,100.0
362,254,2,5,1000.0
363,255,1,4,400.0
364,255,3,3,1500.0
365,255,4,1,150.0
366,257,4,4,600.0
367,259,2,2,400.0
368,261,1,3,300.0
369,261,3,4,2000.0
370,264,2,1,200.0
371,264,4,2,300.0
372,265,2,5,1000.0
373,265,4,4,600.0
374,265,1,5,500.0
375,266,3,2,1000.0
376,266,1,2,200.0
377,267,1,4,400.0
378,267,3,5,2500.0
379,268,1,4,400.0
380,268,3,2,1000.0
381,268,4,2,300.0
382,270,1,3,300.0
383,273,4,2,300.0
384,273,2,1,200.0
385,274,3,2,1000.0
386,274,2,2,400.0
387,275,3,2,1000.0
388,276,3,2,1000.0
389,277,4,5,750.0
390,279,2,2,400.0
391,279,3,3,1500.0
392,279,1,1,100.0
393,281,3,5,2500.0
394,282,4,5,750.0
395,282,1,1,100.0
396,285,2,3,600.0
397,285,1,5,500.0
398,285,3,3,1500.0
399,286,2,5,1000.0
400,286,3,2,1000.0
401,286,1,4,400.0
402,287,4,2,300.0
403,289,2,5,1000.0
404,291,2,1,200.0
405,292,2,4,800.0
406,292,4,2,300.0
407,292,1,2,200.0
408,294,3,4,2000.0
409,294,1,1,100.0
410,294,2,5,1000.0
411,295,2,5,1000.0
412,295,3,2,1000.0
413,298,3,1,500.0
414,298,4,4,600.0
415,300,1,3,300.0
416,300,2,1,200.0
417,302,3,1,500.0
418,303,4,2,300.0
419,303,2,4,800.0
420,305,2,3,600.0
421,305,4,4,600.0
422,306,4,3,450.0
423,306,3,2,1000.0
424,308,1,1,100.0
425,308,2,5,1000.0
426,308,4,3,450.0
427,310,1,4,400.0
428,310,3,4,2000.0
429,312,1,3,300.0
430,312,3,2,1000.0
431,314,2,1,200.0
432,315,2,1,200.0
433,315,4,3,450.0
434,315,1,4,400.0
435,317,2,4,800.0
436,317,4,1,150.0
437,317,3,2,1000.0
438,318,4,1,150.0
439,318,2,2,400.0
440,319,4,3,450.0
441,319,1,1,100.0
442,320,2,5,1000.0
443,321,4,1,150.0
444,322,1,3,300.0
445,322,4,5,750.0
446,323,3,4,2000.0
447,323,2,3,600.0
448,323,4,2,300.0
449,324,3,3,1500.0
450,324,4,3,450.0
451,324,2,1,200.0
452,325,1,3,300.0
453,325,4,1,150.0
454,325,3,4,2000.0
455,326,4,4,600.0
456,328,2,2,400.0
457,328,3,2,1000.0
458,329,2,5,1000.0
459,329,3,5,2500.0
460,329,1,5,500.0
461,330,2,2,400.0
462,330,1,2,200.0
463,330,4,5,750.0
464,331,1,2,200.0
465,331,2,5,1000.0
466,332,3,3,1500.0
467,332,4,3,450.0
468,334,3,5,2500.0
469,334,1,5,500.0
470,337,1,1,100.0
471,338,1,2,200.0
472,340,3,5,2500.0
473,341,1,5,500.0
474,341,4,5,750.0
475,341,2,2,400.0
476,342,1,5,500.0
477,343,4,5,750.0
478,343,1,1,100.0
479,343,2,1,200.0
480,344,4,1,150.0
481,344,3,5,2500.0
482,344,2,3,600.0
483,347,4,2,300.0
484,349,3,3,1500.0
485,350,4,2,300.0
486,350,2,4,800.0
487,350,1,3,300.0
488,351,3,1,500.0
489,351,4,2,300.0
490,351,1,4,400.0
491,352,3,5,2500.0
492,352,4,1,150.0
493,353,3,2,1000.0
494,353,2,2,400.0
495,353,4,1,150.0
496,354,4,5,750.0
497,355,1,1,100.0
498,356,4,5,750.0
499,356,2,4,800.0
500,356,1,5,500.0
501,357,3,5,2500.0
502,359,1,4,400.0
503,359,2,3,600.0
504,359,4,5,750.0
505,360,3,1,500.0
506,360,4,3,450.0
507,360,1,4,400.0
508,361,2,5,1000.0
509,361,4,2,300.0
510,361,1,3,300.0
511,363,4,1,150.0
512,364,4,4,600.0
513,364,1,4,400.0
514,365,1,1,100.0
515,365,3,4,2000.0
516,365,4,1,150.0
517,367,4,5,750.0
518,367,1,5,500.0
519,367,3,1,500.0
520,368,1,4,400.0
521,369,1,1,100.0
522,369,3,3,1500.0
523,369,4,4,600.0
524,370,1,5,500.0
525,371,4,2,300.0
526,371,3,4,2000.0
527,372,4,2,300.0
528,374,3,2,1000.0
529,374,1,3,300.0
530,375,1,4,400.0
531,375,4,3,450.0
532,377,2,3,600.0
533,377,4,4,600.0
534,377,3,4,2000.0
535,379,4,3,450.0
536,379,1,3,300.0
537,379,2,1,200.0
538,380,1,2,200.0
539,380,2,1,200.0
540,380,3,5,2500.0
541,382,3,4,2000.0
542,383,1,5,500.0
543,383,2,1,200.0
544,384,4,5,750.0
545,384,1,4,400.0
546,384,3,3,1500.0
547,385,1,4,400.0
548,385,3,2,1000.0
549,385,2,3,600.0
550,387,3,3,1500.0
551,387,1,3,300.0
552,390,2,4,800.0
553,390,3,2,1000.0
554,390,4,3,450.0
555,391,4,3,450.0
556,391,3,2,1000.0
557,392,2,3,600.0
558,392,3,2,1000.0
559,392,1,3,300.0
560,393,1,2,200.0
561,393,2,3,600.0
562,394,1,2,200.0
563,397,3,1,500.0
564,397,4,5,750.0
565,399,2,5,1000.0
566,399,3,1,500.0
567,399,1,4,400.0
568,400,4,5,750.0
569,400,3,3,1500.0
570,400,1,4,400.0
571,401,2,4,800.0
572,401,4,3,450.0
573,402,4,2,300.0
574,402,2,1,200.0
575,403,2,1,200.0
576,403,3,1,500.0
577,403,4,2,300.0
578,404,4,4,600.0
579,404,3,3,1500.0
580,404,2,2,400.0
581,406,4,3,450.0
582,408,2,2,400.0
583,408,4,1,150.0
584,408,1,4,400.0
585,409,2,5,1000.0
586,410,1,5,500.0
587,412,4,1,150.0
588,412,1,3,300.0
589,412,2,5,1000.0
590,413,4,3,450.0
591,413,1,5,500.0
592,414,2,4,800.0
593,414,4,3,450.0
594,414,1,5,500.0
595,415,2,1,200.0
596,415,4,2,300.0
597,416,1,1,100.0
598,416,2,1,200.0
599,416,3,4,2000.0
600,420,4,3,450.0
601,421,4,2,300.0
602,422,4,2,300.0
603,423,4,5,750.0
604,423,3,3,1500.0
605,423,2,2,400.0
606,425,2,1,200.0
607,425,4,5,750.0
608,425,1,4,400.0
609,426,3,2,1000.0
610,426,4,4,600.0
611,426,1,4,400.0
612,427,1,3,300.0
613,427,4,3,450.0
614,429,3,4,2000.0
615,429,2,4,800.0
616,431,1,1,100.0
617,431,4,1,150.0
618,432,2,5,1000.0
619,433,4,1,150.0
620,433,1,4,400.0
621,433,2,4,800.0
622,434,2,1,200.0
623,435,4,5,750.0
624,437,4,3,450.0
625,437,2,5,1000.0
626,437,1,5,500.0
627,438,3,2,1000.0
628,438,1,4,400.0
629,438,4,5,750.0
630,440,1,4,400.0
631,440,3,3,1500.0
632,441,4,2,300.0
633,441,2,2,400.0
634,443,2,5,1000.0
635,444,1,1,100.0
636,444,2,3,600.0
637,444,3,5,2500.0
638,446,1,2,200.0
639,447,3,3,1500.0
640,447,4,3,450.0
641,447,1,4,400.0
642,449,2,2,400.0
643,451,1,5,500.0
644,451,4,1,150.0
645,452,3,3,1500.0
646,452,4,1,150.0
647,454,3,2,1000.0
648,454,1,3,300.0
649,454,4,4,600.0
650,455,1,5,500.0
651,458,4,4,600.0
652,459,3,4,2000.0
653,459,1,1,100.0
654,461,1,4,400.0
655,463,3,4,2000.0
656,464,3,3,1500.0
657,465,3,5,2500.0
658,466,2,2,400.0
659,468,4,3,450.0
660,469,1,1,100.0
661,470,2,1,200.0
662,470,4,4,600.0
663,471,2,5,1000.0
664,471,1,5,500.0
665,471,4,4,600.0
666,472,4,4,600.0
667,473,2,1,200.0
668,473,4,3,450.0
669,474,1,5,500.0
670,474,2,3,600.0
671,474,3,1,500.0
672,475,3,3,1500.0
673,475,1,1,100.0
674,476,3,3,1500.0
675,476,4,2,300.0
676,476,2,4,800.0
677,477,4,5,750.0
678,477,2,2,400.0
679,477,1,3,300.0
680,478,2,4,800.0
681,478,4,4,600.0
682,478,3,3,1500.0
683,479,1,3,300.0
684,479,3,1,500.0
685,482,2,3,600.0
686,482,3,4,2000.0
687,482,1,3,300.0
688,483,3,1,500.0
689,483,2,1,200.0
690,483,1,4,400.0
691,486,1,5,500.0
692,487,3,4,2000.0
693,489,1,3,300.0
694,489,2,1,200.0
695,490,1,1,100.0
696,491,2,4,800.0
697,491,4,1,150.0
698,491,3,5,2500.0
699,494,3,2,1000.0
700,494,2,1,200.0
701,495,4,1,150.0
702,495,3,5,2500.0
703,496,4,3,450.0
704,496,2,1,200.0
705,496,1,4,400.0
706,497,1,5,500.0
707,497,2,1,200.0
708,498,2,5,1000.0
709,498,3,4,2000.0
710,500,4,4,600.0
711,500,3,1,500.0
712,500,1,3,300.0
713,501,4,4,600.0
714,503,4,1,150.0
715,503,3,5,2500.0
716,504,2,3,600.0
717,504,3,4,2000.0
718,506,2,1,200.0
719,506,3,1,500.0
720,506,4,2,300.0
721,508,1,3,300.0
722,508,3,5,2500.0
723,508,2,4,800.0
724,509,1,5,500.0
725,509,2,5,1000.0
726,509,4,3,450.0
727,510,3,4,2000.0
728,510,4,4,600.0
729,510,2,4,800.0
730,511,4,1,150.0
731,512,1,1,100.0
732,514,2,4,800.0
733,516,3,3,1500.0
734,516,1,4,400.0
735,516,4,3,450.0
736,518,1,1,100.0
737,519,2,3,600.0
738,519,4,1,150.0
739,519,3,4,2000.0
740,520,4,2,300.0
741,520,2,2,400.0
742,522,2,3,600.0
743,522,4,1,150.0
744,523,4,2,300.0
745,525,2,2,400.0
746,525,4,1,150.0
747,525,1,1,100.0
748,526,2,1,200.0
749,526,3,2,1000.0
750,527,3,4,2000.0
751,527,1,5,500.0
752,528,2,1,200.0
753,528,1,3,300.0
754,528,3,1,500.0
755,529,2,3,600.0
756,530,2,5,1000.0
757,532,4,4,600.0
758,532,3,3,1500.0
759,532,1,5,500.0
760,533,4,1,150.0
761,533,3,1,500.0
762,534,1,3,300.0
763,536,2,4,800.0
764,536,4,3,450.0
765,536,1,3,300.0
766,538,3,5,2500.0
767,538,2,2,400.0
768,538,4,2,300.0
769,539,3,1,500.0
770,539,2,4,800.0
771,539,4,5,750.0
772,540,2,1,200.0
773,542,2,3,600.0
774,542,4,1,150.0
775,543,3,1,500.0
776,543,1,2,200.0
777,543,2,1,200.0
778,545,1,1,100.0
779,545,2,5,1000.0
780,546,1,3,300.0
781,546,3,3,1500.0
782,547,4,1,150.0
783,547,3,5,2500.0
784,549,4,4,600.0
785,549,3,1,500.0
786,551,4,1,150.0
787,552,1,4,400.0
788,555,2,3,600.0
789,555,4,2,300.0
790,555,3,3,1500.0
791,556,3,3,1500.0
792,556,1,1,100.0
793,556,2,4,800.0
794,557,2,3,600.0
795,558,1,2,200.0
796,558,3,1,500.0
797,558,2,2,400.0
798,560,1,3,300.0
799,560,4,3,450.0
800,560,2,4,800.0
801,561,3,5,2500.0
802,561,1,1,100.0
803,565,3,3,1500.0
804,565,2,5,1000.0
805,567,3,2,1000.0
806,570,4,4,600.0
807,571,2,3,600.0
808,571,3,2,1000.0
809,571,1,2,200.0
810,572,1,4,400.0
811,572,3,1,500.0
812,572,2,4,800.0
813,573,4,3,450.0
814,574,4,3,450.0
815,577,4,5,750.0
816,577,1,5,500.0
817,577,2,5,1000.0
818,578,4,3,450.0
819,581,3,2,1000.0
820,581,4,1,150.0
821,582,4,3,450.0
822,582,3,3,1500.0
823,582,2,5,1000.0
824,583,2,1,200.0
825,583,3,4,2000.0
826,583,4,1,150.0
827,584,2,2,400.0
828,586,2,5,1000.0
829,586,3,3,1500.0
830,587,1,2,200.0
831,589,3,1,500.0
832,589,1,5,500.0
833,589,4,3,450.0
834,590,3,2,1000.0
835,590,2,5,1000.0
836,590,1,1,100.0
837,591,3,3,1500.0
838,591,2,1,200.0
839,592,1,2,200.0
840,592,4,1,150.0
841,592,3,3,1500.0
842,593,4,2,300.0
843,593,3,1,500.0
844,593,1,1,100.0
845,594,2,1,200.0
846,594,4,2,300.0
847,595,2,2,400.0
848,595,4,4,600.0
849,596,3,4,2000.0
850,596,2,1,200.0
851,596,4,4,600.0
852,598,3,1,500.0
853,598,4,3,450.0
854,598,1,1,100.0
855,599,3,3,1500.0
856,599,4,3,450.0
857,600,4,2,300.0
858,602,1,1,100.0
859,605,3,2,1000.0
860,605,1,1,100.0
861,605,2,4,800.0
862,606,1,1,100.0
863,607,1,5,500.0
864,609,3,5,2500.0
865,609,2,2,400.0
866,610,3,2,1000.0
867,611,3,4,2000.0
868,611,4,3,450.0
869,611,1,2,200.0
870,612,1,2,200.0
871,612,4,5,750.0
872,612,3,3,1500.0
873,613,4,2,300.0
874,614,1,2,200.0
875,614,2,4,800.0
876,614,3,5,2500.0
877,615,4,5,750.0
878,615,3,4,2000.0
879,616,2,1,200.0
880,616,3,5,2500.0
881,617,2,4,800.0
882,618,1,2,200.0
883,618,2,3,600.0
884,618,3,3,1500.0
885,619,3,2,1000.0
886,620,3,5,2500.0
887,620,4,2,300.0
888,620,1,4,400.0
889,621,1,3,300.0
890,622,2,3,600.0
891,622,4,1,150.0
892,623,2,2,400.0
893,623,1,5,500.0
894,624,1,4,400.0
895,624,4,5,750.0
896,625,2,3,600.0
897,625,1,4,400.0
898,626,4,2,300.0
899,626,1,4,400.0
900,626,3,4,2000.0
901,627,4,4,600.0
902,627,2,5,1000.0
903,629,4,5,750.0
904,630,4,3,450.0
905,630,3,5,2500.0
906,631,4,2,300.0
907,631,2,5,1000.0
908,631,3,2,1000.0
909,633,1,3,300.0
910,633,3,1,500.0
911,636,4,2,300.0
912,637,3,3,1500.0
913,638,4,1,150.0
914,639,4,4,600.0
915,640,4,1,150.0
916,640,2,2,400.0
917,640,1,5,500.0
918,641,4,4,600.0
919,641,1,4,400.0
920,641,3,1,500.0
921,642,3,5,2500.0
922,643,3,3,1500.0
923,643,2,1,200.0
924,643,1,5,500.0
925,644,2,3,600.0
926,645,4,1,150.0
927,645,1,1,100.0
928,645,3,4,2000.0
929,647,2,3,600.0
930,647,1,5,500.0
931,647,3,5,2500.0
932,648,1,4,400.0
933,648,2,2,400.0
934,649,2,3,600.0
935,649,4,2,300.0
936,649,3,2,1000.0
937,650,2,2,400.0
938,650,3,4,2000.0
939,650,1,2,200.0
940,652,2,2,400.0
941,652,4,4,600.0
942,652,1,3,300.0
943,653,2,3,600.0
944,653,3,3,1500.0
945,654,3,2,1000.0
946,654,4,3,450.0
947,654,2,3,600.0
948,655,4,4,600.0
949,655,2,1,200.0
950,655,3,5,2500.0
951,657,2,4,800.0
952,657,4,2,300.0
953,657,1,3,300.0
954,660,4,2,300.0
955,660,2,1,200.0
956,660,3,3,1500.0
957,661,2,3,600.0
958,661,3,2,1000.0
959,661,4,2,300.0
960,663,3,4,2000.0
961,664,2,1,200.0
962,666,4,4,600.0
963,666,3,3,1500.0
964,666,1,5,500.0
965,668,1,4,400.0
966,668,2,2,400.0
967,668,3,1,500.0
968,669,1,3,300.0
969,669,3,1,500.0
970,670,4,1,150.0
971,670,3,4,2000.0
972,671,2,2,400.0
973,673,2,2,400.0
974,673,4,2,300.0
975,675,4,5,750.0
976,675,3,1,500.0
977,675,1,2,200.0
978,677,2,3,600.0
979,677,4,4,600.0
980,677,1,2,200.0
981,678,3,5,2500.0
982,678,4,2,300.0
983,678,1,5,500.0
984,679,4,1,150.0
985,679,1,3,300.0
986,679,2,1,200.0
987,681,2,5,1000.0
988,681,3,5,2500.0
989,682,3,4,2000.0
990,682,1,1,100.0
991,682,2,5,1000.0
992,683,2,5,1000.0
993,684,4,5,750.0
994,686,3,1,500.0
995,687,3,5,2500.0
996,687,2,5,1000.0
997,687,4,4,600.0
998,689,3,5,2500.0
999,690,1,1,100.0
1000,690,2,2,400.0
1001,690,3,2,1000.0
1002,691,1,1,100.0
1003,692,1,1,100.0
1004,692,3,2,1000.0
1005,693,3,5,2500.0
1006,693,4,2,300.0
1007,693,2,2,400.0
1008,694,3,3,1500.0
1009,694,4,3,450.0
1010,694,2,3,600.0
1011,695,3,5,2500.0
1012,696,1,1,100.0
1013,696,4,3,450.0
1014,697,2,2,400.0
1015,697,1,3,300.0
1016,697,3,2,1000.0
1017,699,2,3,600.0
1018,699,4,1,150.0
1019,699,1,1,100.0
1020,700,4,1,150.0
1021,701,2,2,400.0
1022,701,3,2,1000.0
1023,701,4,1,150.0
1024,702,3,1,500.0
1025,703,4,5,750.0
1026,703,3,1,500.0
1027,704,3,5,2500.0
1028,705,3,5,2500.0
1029,706,3,1,500.0
1030,707,3,5,2500.0
1031,707,1,4,400.0
1032,707,4,2,300.0
1033,710,3,3,1500.0
1034,710,1,5,500.0
1035,710,2,1,200.0
1036,711,3,1,500.0
1037,712,2,5,1000.0
1038,715,3,2,1000.0
1039,715,1,4,400.0
1040,716,1,1,100.0
1041,716,4,5,750.0
1042,717,1,4,400.0
1043,717,2,4,800.0
1044,717,4,1,150.0
1045,718,4,1,150.0
1046,718,2,1,200.0
1047,719,4,4,600.0
1048,719,2,1,200.0
1049,721,3,2,1000.0
1050,722,2,3,600.0
1051,722,1,3,300.0
1052,722,4,1,150.0
1053,723,3,4,2000.0
1054,724,2,1,200.0
1055,724,4,3,450.0
1056,724,3,5,2500.0
1057,725,4,5,750.0
1058,726,2,1,200.0
1059,728,2,3,600.0
1060,728,4,2,300.0
1061,730,2,1,200.0
1062,730,3,5,2500.0
1063,733,2,3,600.0
1064,733,1,3,300.0
1065,734,1,3,300.0
1066,735,3,1,500.0
1067,736,2,2,400.0
1068,736,3,5,2500.0
1069,737,2,4,800.0
1070,739,1,2,200.0
1071,739,4,4,600.0
1072,739,2,1,200.0
1073,740,3,3,1500.0
1074,741,2,2,400.0
1075,743,4,4,600.0
1076,743,3,4,2000.0
1077,744,2,3,600.0
1078,744,3,4,2000.0
1079,744,1,5,500.0
1080,745,3,2,1000.0
1081,746,3,1,500.0
1082,746,4,1,150.0
1083,748,3,1,500.0
1084,749,2,1,200.0
1085,749,4,2,300.0
1086,751,4,2,300.0
1087,751,3,3,1500.0
1088,751,1,2,200.0
1089,752,3,5,2500.0
1090,752,2,4,800.0
1091,752,1,1,100.0
1092,753,3,2,1000.0
1093,753,4,5,750.0
1094,753,2,3,600.0
1095,754,1,4,400.0
1096,754,2,4,800.0
1097,754,4,4,600.0
1098,755,3,4,2000.0
1099,755,1,4,400.0
1100,756,3,1,500.0
1101,757,4,3,450.0
1102,758,1,1,100.0
1103,759,4,2,300.0
1104,760,1,4,400.0
1105,760,3,5,2500.0
1106,760,2,5,1000.0
1107,761,2,3,600.0
