reservation_id,customer_id,room_id,booking_channel_id,payment_type_id,date_key,stay_length,total_services_used,total_service_amount,amount,rating
1,34,28,1,1,20240123,5,2,1350.0,4350.0,3.0
2,10,30,3,1,20240209,5,3,1400.0,4400.0,
3,23,6,3,3,20241025,4,2,1100.0,1900.0,
4,26,18,3,1,20240926,4,0,0.0,1600.0,5.0
5,35,18,1,1,20241127,5,0,0.0,2000.0,5.0
6,24,8,3,2,20240719,3,3,2200.0,2800.0,
7,13,7,3,3,20241201,1,2,250.0,450.0,5.0
8,17,27,3,1,20241004,3,0,0.0,1800.0,
9,9,21,3,2,20240808,3,3,1850.0,3650.0,4.0
10,5,17,3,1,20240319,2,2,1700.0,2500.0,4.0
11,48,8,2,1,20240515,3,3,1800.0,2400.0,
12,39,3,1,1,20240323,1,2,800.0,1000.0,2.0
13,50,1,3,2,20240617,5,0,0.0,1000.0,
14,17,16,4,3,20240405,5,3,2700.0,4700.0,1.0
15,31,29,3,2,20241216,3,2,1200.0,3000.0,
16,41,30,2,1,20241016,1,1,300.0,900.0,5.0
17,32,9,4,3,20240922,1,2,3100.0,3300.0,
18,22,8,3,1,20240125,7,2,1100.0,2500.0,
19,37,17,4,1,20241103,5,3,1500.0,3500.0,3.0
20,6,8,4,2,20240228,6,2,1400.0,2600.0,
21,42,20,4,2,20241207,1,1,500.0,900.0,1.0
22,29,13,4,1,20240621,3,3,2050.0,3250.0,
23,12,15,1,1,20240507,7,2,1450.0,4250.0,3.0
24,37,29,1,1,20241116,7,3,1550.0,5750.0,4.0
25,24,21,1,2,20240113,4,2,2500.0,4900.0,5.0
26,15,19,3,3,20241113,3,1,2500.0,3700.0,3.0
27,26,10,3,2,20241023,6,3,3300.0,4500.0,4.0
28,32,3,3,3,20241229,4,0,0.0,800.0,5.0
29,1,18,3,1,20240407,2,0,0.0,800.0,4.0
30,7,9,1,1,20240217,2,0,0.0,400.0,
31,11,28,1,2,20240316,6,0,0.0,3600.0,
32,50,5,2,3,20240114,2,3,2550.0,2950.0,
33,27,1,4,2,20240201,5,3,3350.0,4350.0,5.0
34,39,14,1,1,20240902,6,0,0.0,2400.0,
35,37,15,1,3,20240425,7,3,1300.0,4100.0,
36,4,11,3,1,20241227,1,2,3100.0,3500.0,
37,1,3,3,2,20240308,7,2,850.0,2250.0,4.0
38,5,30,3,3,20240510,1,3,2900.0,3500.0,2.0
39,46,19,2,2,20240316,3,3,1700.0,2900.0,4.0
40,14,19,3,2,20241011,3,2,1300.0,2500.0,2.0
41,24,12,2,3,20240106,3,1,600.0,1800.0,
42,28,29,4,1,20240621,3,3,2700.0,4500.0,4.0
43,31,19,4,1,20240731,3,2,1600.0,2800.0,1.0
44,50,9,1,2,20241124,4,1,450.0,1250.0,
45,43,14,3,1,20241107,2,2,3000.0,3800.0,2.0
46,14,20,3,1,20240528,7,0,0.0,2800.0,3.0
47,26,22,4,3,20240906,5,1,400.0,3400.0,
48,15,10,4,3,20240924,1,0,0.0,200.0,5.0
49,30,16,2,2,20240413,7,0,0.0,2800.0,4.0
50,17,15,4,1,20240706,3,0,0.0,1200.0,3.0
51,48,30,3,2,20240922,1,0,0.0,600.0,
52,32,29,3,2,20240515,3,1,750.0,2550.0,3.0
53,2,16,4,2,20240420,3,0,0.0,1200.0,2.0
54,24,19,1,2,20240422,6,3,1950.0,4350.0,5.0
55,36,8,1,1,20240816,5,2,1150.0,2150.0,2.0
